id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_pencari_kerja,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,741,ORANG,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,747,ORANG,2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,10530,ORANG,2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,12083,ORANG,2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,70,ORANG,2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,41,ORANG,2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1893,ORANG,2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1867,ORANG,2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,35,ORANG,2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,18,ORANG,2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,5048,ORANG,2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,4373,ORANG,2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,5474,ORANG,2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,5127,ORANG,2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,6617,ORANG,2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,5970,ORANG,2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,38,ORANG,2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,25,ORANG,2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,20,ORANG,2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,9,ORANG,2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,625,ORANG,2018
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,593,ORANG,2018
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,8645,ORANG,2018
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,10906,ORANG,2018
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,5381,ORANG,2018
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,9396,ORANG,2018
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,4686,ORANG,2018
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,4761,ORANG,2018
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,41,ORANG,2018
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,33,ORANG,2018
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,100,ORANG,2018
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,62,ORANG,2018
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,16,ORANG,2018
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,15,ORANG,2018
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,7,ORANG,2018
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,4,ORANG,2018
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,1838,ORANG,2018
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,1647,ORANG,2018
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,2085,ORANG,2018
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,2331,ORANG,2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1744,ORANG,2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,1511,ORANG,2018
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,223,ORANG,2018
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,212,ORANG,2018
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,146,ORANG,2018
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,82,ORANG,2018
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,73,ORANG,2018
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,47,ORANG,2018
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,17,ORANG,2018
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,17,ORANG,2018
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,3342,ORANG,2018
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,2964,ORANG,2018
53,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,3,ORANG,2018
54,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,4,ORANG,2018
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,2628,ORANG,2019
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,2281,ORANG,2019
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,14666,ORANG,2019
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,32146,ORANG,2019
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,198,ORANG,2019
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,614,ORANG,2019
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,2895,ORANG,2019
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,2432,ORANG,2019
63,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,468,ORANG,2019
64,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,460,ORANG,2019
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,6490,ORANG,2019
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,5269,ORANG,2019
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,6456,ORANG,2019
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,5777,ORANG,2019
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,5727,ORANG,2019
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,5432,ORANG,2019
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,212,ORANG,2019
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,102,ORANG,2019
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,161,ORANG,2019
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,63,ORANG,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,6211,ORANG,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,5681,ORANG,2019
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,12574,ORANG,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,15111,ORANG,2019
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,14983,ORANG,2019
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,19390,ORANG,2019
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,12398,ORANG,2019
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,13165,ORANG,2019
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,735,ORANG,2019
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,510,ORANG,2019
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,6580,ORANG,2019
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,5229,ORANG,2019
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,129,ORANG,2019
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,62,ORANG,2019
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,1744,ORANG,2019
